ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,20220315,1093.4328,1115.1873,1142.81,1093.4328,1126.282,-32.8492,-2.9166,10622022.0,49802723.254
000688.SH,20220314,1126.282,1151.9658,1154.7026,1126.2614,1161.2101,-34.9281,-3.0079,8923501.0,49002009.517
000688.SH,20220311,1161.2101,1137.6069,1162.5962,1125.3437,1153.3575,7.8526,0.6808,10553236.0,52556982.618
000688.SH,20220310,1153.3575,1161.9879,1168.1394,1149.4154,1129.6471,23.7104,2.0989,10228939.0,50046955.57
000688.SH,20220309,1129.6471,1148.1814,1156.4004,1097.0722,1137.0749,-7.4278,-0.6532,10917419.0,48790637.558
000688.SH,20220308,1137.0749,1167.5937,1179.1959,1135.5194,1169.9825,-32.9076,-2.8127,9672312.0,47418263.838
000688.SH,20220307,1169.9825,1198.0119,1198.0119,1164.9814,1203.0891,-33.1066,-2.7518,8184385.0,41972092.269
000688.SH,20220304,1203.0891,1201.1241,1228.1876,1197.8335,1209.8187,-6.7296,-0.5562,7767776.0,39930472.638
000688.SH,20220303,1209.8187,1235.9584,1237.1979,1208.8194,1230.2782,-20.4595,-1.663,7620905.0,39447162.344
000688.SH,20220302,1230.2782,1233.1042,1233.9161,1216.4668,1239.019,-8.7408,-0.7055,7208667.0,36213535.916
000688.SH,20220301,1239.019,1254.5696,1259.677,1232.0914,1249.5852,-10.5662,-0.8456,8568308.0,42394223.284
000688.SH,20220228,1249.5852,1243.9803,1249.5852,1230.6454,1240.8776,8.7076,0.7017,9812227.0,50069597.61
000688.SH,20220225,1240.8776,1231.5406,1253.4553,1230.6061,1214.9889,25.8887,2.1308,8620741.0,46247054.185
000688.SH,20220224,1214.9889,1226.9481,1240.3537,1199.0721,1231.077,-16.0881,-1.3068,11331530.0,51365988.764
000688.SH,20220223,1231.077,1182.4218,1233.4417,1181.4023,1183.9818,47.0952,3.9777,9068585.0,45910558.536
000688.SH,20220222,1183.9818,1184.835,1186.7833,1168.5652,1193.6012,-9.6194,-0.8059,7696765.0,34764818.367
000688.SH,20220221,1193.6012,1207.1474,1212.4942,1191.8391,1204.3705,-10.7693,-0.8942,7576727.0,32960332.337
000688.SH,20220218,1204.3705,1200.3428,1206.0129,1195.2398,1207.8211,-3.4506,-0.2857,6396948.0,29866344.015
000688.SH,20220217,1207.8211,1196.5983,1217.4702,1191.4463,1197.5615,10.2596,0.8567,7402910.0,34088935.467
000688.SH,20220216,1197.5615,1210.4158,1211.5529,1195.9717,1203.1243,-5.5628,-0.4624,7084265.0,32165254.606
000688.SH,20220215,1203.1243,1172.7707,1204.34,1171.6756,1169.4421,33.6822,2.8802,7440951.0,34578447.29
000688.SH,20220214,1169.4421,1161.8449,1179.8879,1148.7033,1169.5896,-0.1475,-0.0126,6205633.0,29024141.822
000688.SH,20220211,1169.5896,1182.8686,1188.5179,1168.9044,1188.1974,-18.6078,-1.5661,8975096.0,37864107.548
000688.SH,20220210,1188.1974,1214.9815,1215.2781,1182.3976,1210.2863,-22.0889,-1.8251,9020558.0,40602727.373
000688.SH,20220209,1210.2863,1204.241,1212.4495,1195.0854,1204.0542,6.2321,0.5176,8613441.0,36392738.612
