0,turn,mfd_netbuyamt,mfd_netbuyvol,mfd_netbuyamt_a,mfd_netbuyvol_a,mfd_buyvol_open_m,mfd_buyvol_close_m,mkt_cap_ard,pe_ttm,ps_ttm,pb_lf,pcf_ocf_ttm,dividendyield2,mkt_freeshares,netprofit_ttm,operatecashflow_ttm,cashflow_ttm,tech_upnum,tech_downnum,west_netprofit_YOY,west_netprofit_CAGR,west_avgroe_YOY,west_sales_YOY,west_avgebit_YOY,west_avgebt_YOY,west_avgoperatingprofit_YOY,west_avgoc_YOY,yoy_or,yoynetprofit,yoyocf,yoyfcf,yoyroe,invturndays,arturndays,netturndays,current,quick,debttoassets,ocftosales,roe_avg,roa,netprofitmargin,expensetosales,operateexpensetogr,val_pb_wgt,val_pe_avg,tech_uppct,tech_downpct
2014-07-24,1.3289,,,,,,,708000000000.0,46.20999908,5.6816,4.610000134,29.8942,0.57,298000000000.0,15997722270,22394233630,1288349088.0,18,36,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.4918,82.4752,30.0,60.0
2014-07-25,1.1522,,,,,,,716000000000.0,46.75,5.7418,4.670000076,30.2082,0.5703,302000000000.0,15997722270,22394233630,1288349088.0,47,6,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.539,100.5771,78.3333,10.0
2014-07-28,1.7606,,,,,,,732000000000.0,47.81999969,5.8709,4.769999981,31.151,0.5574,309000000000.0,15997722270,22394233630,1288349088.0,53,0,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.6441,103.0451,88.3333,0.0
2014-07-29,1.6629,,,,,,,739000000000.0,48.29999924,5.9314,4.809999943,31.55,0.5667,312000000000.0,15997722270,22394233630,1288349088.0,45,8,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.6778,88.3478,75.0,13.3333
2014-07-30,1.3442,,,,,,,742000000000.0,48.47999954,5.9033,4.829999924,31.5341,0.5645,313000000000.0,15997722270,22394233630,1288349088.0,32,21,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.6962,88.5699,53.3333,35.0
2014-07-31,1.8354,,,,,,,749000000000.0,48.83000183,5.9407,4.860000134,31.8563,0.5748,316000000000.0,15997722270,22394233630,1288349088.0,37,16,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.7389,88.9214,61.6667,26.6667
2014-08-01,1.6377,,,,,,,735000000000.0,47.93999863,5.8305,4.78000021,31.2653,0.5853,310000000000.0,15997722270,22394233630,1288349088.0,2,50,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.651,102.9049,3.3333,83.3333
2014-08-04,1.1896,,,,,,,740000000000.0,48.25,5.8699,4.809999943,31.4767,0.5796,313000000000.0,15997722270,22394233630,1288349088.0,43,8,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.6824,87.3569,71.6667,13.3333
2014-08-05,2.2161,,,,,,,754000000000.0,49.15000153,5.9797,4.900000095,32.0655,0.5689,319000000000.0,15997722270,22394233630,1288349088.0,51,2,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.77,89.5784,85.0,3.3333
2014-08-06,1.5466,,,,,,,752000000000.0,49.13000107,5.962,4.900000095,32.3701,0.5671,318000000000.0,15997722270,22394233630,1288349088.0,17,30,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.763,92.9512,28.3333,50.0
2014-08-07,1.6646,,,,,,,750000000000.0,48.95000076,5.9419,4.880000114,32.261,0.569,317000000000.0,15997722270,22394233630,1288349088.0,15,37,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.7455,93.2156,25.0,61.6667
2014-08-08,1.4722,,,,,,,758000000000.0,49.43000031,6.0042,4.920000076,33.4541,0.5632,320000000000.0,15997722270,22394233630,1288349088.0,41,9,,,,,,,,,,,-13.2074,,,89.8231,60.222,60.222,1.835962,1.593278,36.2007,8.31,8.6032,3.5934,14.0024,19.3085,9.5786,4.7855,94.6322,68.3333,15.0
